file_name,aliquot_id,case_id,submitter_id
30b75646-82f8-467f-8f2b-b71b97af3bc6.rna_seq.augmented_star_gene_counts.tsv,1efc2b34-1bb6-4a6e-993b-151d44f3b2ed,f3665b89-957b-4d7b-b67f-39615c47d28b,TCGA-E8-A3X7
2b7a660d-f472-476a-9145-cae4f3ba5e4c.rna_seq.augmented_star_gene_counts.tsv,a2642f34-bada-4983-a1a9-93b62ae1cc8f,f7f6e9f4-1aa8-48a0-bea9-efaa9379f6f6,TCGA-FY-A3NM
16b193ec-6a1a-420b-9dbf-f49ca38e835f.rna_seq.augmented_star_gene_counts.tsv,86e606b2-d312-4a19-bfc3-d26c92bb530d,f9d35f8e-ada4-4cc6-8227-28565ee531d2,TCGA-BJ-A2NA
db97de7b-911b-4d2b-8ba1-28f2608fddb2.rna_seq.augmented_star_gene_counts.tsv,564410d7-c7e5-4522-b1bf-115772ad7990,f9deeda6-8f81-441a-9c47-24c2eefd049a,TCGA-EL-A3H8
d49c3c02-286e-4cf0-9ee0-fe49034a303d.rna_seq.augmented_star_gene_counts.tsv,f44c7f83-8afa-419a-9c7a-2f5d1cd7a24d,fe28f76e-7ead-4d29-8c53-a576ae6021f7,TCGA-EM-A3SU
e3fca41a-775b-4ba5-9ee0-1197cd1b2117.rna_seq.augmented_star_gene_counts.tsv,67c6149c-47b1-4a72-be1c-9cfd6eb66227,fe28f76e-7ead-4d29-8c53-a576ae6021f7,TCGA-EM-A3SU
2b6d3e35-de05-41dc-a7db-1604ffe2db7f.rna_seq.augmented_star_gene_counts.tsv,dbfb44e2-a785-4e49-a02b-fbe06573689d,fd036ec5-3ffb-40b1-8002-943be0e2532e,TCGA-BJ-A3PR
f0d7efcc-f8c2-4c3d-9610-ab33239334eb.rna_seq.augmented_star_gene_counts.tsv,2f1c17bf-53ac-4537-af66-0d5253a53355,fd25e4e6-f017-4c07-b109-d8a5eea8763c,TCGA-DJ-A2PY
a5ee5405-4573-4933-85b6-0f9e6a2c6fda.rna_seq.augmented_star_gene_counts.tsv,701aefeb-87d3-4f35-96d1-57a23eaad37a,fef9c64f-5959-4da0-aaa2-66b56fc7b4c3,TCGA-EM-A3FQ
403dc3ef-1d5e-48e8-8b04-6b66e844d8ab.rna_seq.augmented_star_gene_counts.tsv,1a07f820-bac6-445d-a2ae-e07f7a87e47e,ebccfb5f-c0a8-4263-aaff-b5dd83585191,TCGA-ET-A25N
cba69fde-caa2-4670-88da-834df96a52e1.rna_seq.augmented_star_gene_counts.tsv,0e963a64-2e40-4117-b4fa-4061d16aabae,e9949320-ad37-4542-98c1-b72df60b1668,TCGA-ET-A39M
0a19d030-f02e-43e3-9559-c5f4f55423e7.rna_seq.augmented_star_gene_counts.tsv,dcd75189-e96f-458a-bbb8-4fbf9c261f01,ef3dd880-7be4-46a8-93c2-7cba1a9cd24d,TCGA-EL-A3MW
2a22df33-4eef-43ac-9fa3-bd0f58e6e7ba.rna_seq.augmented_star_gene_counts.tsv,93c42359-3615-406b-ad18-8b3f23d8eab5,efbdedaa-4b02-40ac-b93c-9670c018cf7f,TCGA-E3-A3E2
8a7318dd-43fa-4814-babf-0983d6713de0.rna_seq.augmented_star_gene_counts.tsv,fea9c2bf-a2b5-44fe-bccc-20c99837cfab,ea859a83-00c3-40b2-97c1-fb24ad027ea6,TCGA-EL-A3ZP
d1a70330-c71f-4ade-8154-b9529ccfd49f.rna_seq.augmented_star_gene_counts.tsv,0ec4878f-2b07-40e5-a6f1-f89814a2b6e9,ea859a83-00c3-40b2-97c1-fb24ad027ea6,TCGA-EL-A3ZP
effd02ea-b2d3-4b99-9587-b0ecdb10ece5.rna_seq.augmented_star_gene_counts.tsv,a8d45785-d6e2-4c38-9625-ee36e2a1017a,f854ce67-c586-4424-a674-2dd67ad0ed7f,TCGA-EM-A4FN
68696e52-131b-4839-905f-9db7acd78193.rna_seq.augmented_star_gene_counts.tsv,1ba7877e-fd4e-452d-8eed-20fc9fb39698,f3ee888e-5116-4313-a2f6-3b1dcc3e4bc1,TCGA-BJ-A0YZ
d60b4f4f-e280-465b-af96-e6a38fdbf10e.rna_seq.augmented_star_gene_counts.tsv,d291f0d0-18a9-45c7-b545-9c260fcbf864,faa51172-60ec-48d8-9224-36bfda1d27e0,TCGA-EL-A3H7
27d57c31-b3fd-445c-a04b-324ec1999bb6.rna_seq.augmented_star_gene_counts.tsv,27782ad0-f3c6-43a3-8123-199ebdd92c25,f69ff5fb-7e0b-4b16-9fc9-498379b11562,TCGA-E8-A2JQ
b6c9fe88-b435-4abd-b181-b0fdc667b9b1.rna_seq.augmented_star_gene_counts.tsv,2fb46da1-3190-4ab7-a6e2-67f7ac1466dd,f69ff5fb-7e0b-4b16-9fc9-498379b11562,TCGA-E8-A2JQ
2f8d8fae-944a-4027-a4f7-33357001d63d.rna_seq.augmented_star_gene_counts.tsv,b854167d-42a2-4144-92ee-0229536d4cea,f9ceffc0-d544-418d-b4a9-bd3c84e37026,TCGA-BJ-A0Z2
3bb17164-7819-4b25-8eb2-2fd27e6ebe2b.rna_seq.augmented_star_gene_counts.tsv,1cc55d09-ac11-4cd5-a970-879d884ba666,fb83f7d7-2182-4fb7-8e3e-8ad7f1feac72,TCGA-EL-A3CV
e397f3f4-4c70-4921-ae1b-aab0564c82f9.rna_seq.augmented_star_gene_counts.tsv,3b52da51-036d-4ae5-9ddf-99b67495a1cc,fd661b1b-fe0b-4ab0-ae82-76324e2f6a81,TCGA-EL-A3CO
19c87b80-1709-42d3-8d36-05243fbd0398.rna_seq.augmented_star_gene_counts.tsv,d11ec158-5b62-4bb8-990f-445f29b0dcdd,f9d35f8e-ada4-4cc6-8227-28565ee531d2,TCGA-BJ-A2NA
a01e9c15-dbbd-4d23-8a55-9e9e8b12ec60.rna_seq.augmented_star_gene_counts.tsv,ad4a6ae8-63bb-4890-9b31-314a2fa81d1b,fd8c4ff3-e759-495f-96e7-1f406bb70190,TCGA-FE-A23A
fb73fde6-1dbb-4381-b305-49c02cbbad2a.rna_seq.augmented_star_gene_counts.tsv,febae3ce-225b-4414-bc02-4538b062d76e,fca0c7d9-5e6f-4aa7-ba04-5df2eb8ba398,TCGA-DJ-A1QF
